Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,total_exposure
2023-06-26,0.31171185,0.06917216,0.11549726,0.1538955,0.27588132,0.074366555,0.17788814,0.21644215,0.10366397,0.14281484,0.15155086,-0.1623011,1.9551857
2023-06-27,0.29602852,0.06613746,0.117261246,0.16138706,0.27756256,0.07857185,0.1716078,0.19481657,0.101104915,0.15836634,0.15004058,-0.16296554,1.9358505
2023-06-28,0.28719047,0.064461336,0.11750139,0.16462684,0.27818254,0.08066301,0.16777326,0.18398255,0.09883838,0.1666092,0.14905295,-0.16288754,1.9217694
2023-06-29,0.282166,0.06344718,0.11746967,0.16619919,0.2784074,0.081757605,0.16557892,0.17816004,0.097271636,0.17112145,0.14846282,-0.1627196,1.9127616
2023-06-30,0.22233565,0.050926078,0.11585678,0.17411596,0.27927038,0.0896066,0.13464954,0.11839845,0.08173445,0.21807738,0.14366576,-0.16136387,1.7900009
2023-07-03,0.28015673,0.06308004,0.11741614,0.16679206,0.27852368,0.082161486,0.16465925,0.17587373,0.09666586,0.17294846,0.14820741,-0.16265379,1.9091387
2023-07-05,0.16768035,0.049790077,0.096407205,0.18097526,0.28265822,0.092355385,0.10460468,0.07902691,0.05925127,0.26440167,0.1277664,-0.15752321,1.6624405
2023-07-06,0.15586017,0.046763524,0.09605557,0.17953958,0.2810356,0.09335962,0.09529382,0.068213284,0.058645815,0.27148208,0.12929116,-0.15853208,1.6340723
2023-07-07,0.22001165,0.05397106,0.11113112,0.17788741,0.28221023,0.08936289,0.13451004,0.11829464,0.07761426,0.22401239,0.13845836,-0.16121376,1.7886778
2023-07-10,0.28042758,0.06308373,0.11716385,0.16612372,0.27917913,0.08151279,0.16481642,0.1771403,0.09567566,0.1733235,0.14784862,-0.1625115,1.9088068
2023-07-11,0.2926567,0.065421805,0.11689985,0.16166776,0.27876154,0.07842296,0.17015378,0.19222122,0.09858396,0.16240546,0.14907512,-0.16273344,1.9290037
2023-07-12,0.14334138,0.041384343,0.09845105,0.17552456,0.276921,0.09484345,0.08501046,0.056372516,0.059640422,0.276775,0.13454048,-0.16014263,1.6029474
2023-07-13,0.2685678,0.060786236,0.11678311,0.16959882,0.27902296,0.0842468,0.159389,0.16348657,0.09239096,0.18320364,0.14662701,-0.16201702,1.88612
2023-07-14,0.26730084,0.060521685,0.116608664,0.16966924,0.2793546,0.08423991,0.15883124,0.1625157,0.09149673,0.18457389,0.14629059,-0.16185984,1.8832628
2023-07-17,0.252679,0.05793912,0.115494564,0.17314078,0.27934176,0.08707725,0.15185936,0.14694381,0.087049335,0.19660307,0.1444536,-0.16109753,1.8536792
2023-07-18,0.2629417,0.05968211,0.11630471,0.17065766,0.27943605,0.08504984,0.15680836,0.15790069,0.08994931,0.18829128,0.14571516,-0.16156332,1.8743
2023-07-19,0.24172316,0.056397445,0.114529,0.17505026,0.27976167,0.08827595,0.14598438,0.13633244,0.08466743,0.20538843,0.14296892,-0.1611868,1.8322659
2023-07-20,0.25169083,0.057722695,0.11546676,0.17352612,0.27892482,0.08749337,0.15136191,0.14561322,0.08709623,0.19702351,0.14453211,-0.16112085,1.8515724
2023-07-21,0.30160868,0.06708868,0.11635554,0.15797377,0.27781683,0.07620831,0.17391789,0.2036959,0.10071914,0.15362798,0.15010133,-0.16273189,1.9418459
2023-07-24,0.30273443,0.06728591,0.11616695,0.15738001,0.277627,0.07585445,0.17436408,0.20530936,0.10083159,0.152464,0.15019335,-0.16267464,1.9428859
2023-07-25,0.29629582,0.066138126,0.116884515,0.16055265,0.2781765,0.07782,0.17169571,0.19632487,0.10000614,0.15868716,0.14966911,-0.16286798,1.9351184
2023-07-26,0.2971535,0.06626492,0.11673944,0.15999818,0.27824223,0.07743059,0.17206602,0.19774279,0.09986991,0.15797932,0.14966336,-0.16282228,1.9359725
2023-07-27,0.29745013,0.066298656,0.11671664,0.15990487,0.27811095,0.07739079,0.17219602,0.19808012,0.09996784,0.15760662,0.1497268,-0.16282311,1.9362725
2023-07-28,0.2931307,0.06562191,0.11760737,0.16295278,0.2773812,0.07968986,0.17033339,0.1904954,0.10122682,0.16073023,0.15002508,-0.16311106,1.9323058
2023-07-31,0.30219543,0.067233264,0.11634065,0.15797427,0.27738443,0.076277815,0.17411782,0.204059,0.1012664,0.15277357,0.15030722,-0.16277401,1.9427038
2023-08-01,0.2916893,0.06531674,0.11761224,0.16355434,0.27720365,0.0801209,0.16969843,0.18860129,0.10095848,0.16185303,0.14993668,-0.16308808,1.9296333
2023-08-02,0.29844642,0.066630304,0.11754197,0.16135558,0.27633867,0.078869544,0.17262363,0.19640633,0.10327096,0.15514582,0.15089826,-0.1631533,1.9406809
2023-08-03,0.3139123,0.06939128,0.1154751,0.15338084,0.2742284,0.07432443,0.17883204,0.21814881,0.105535194,0.13925174,0.15235962,-0.16237776,1.9572175
2023-08-04,0.316697,0.06991947,0.11527498,0.15254629,0.2728436,0.074229136,0.17990737,0.22103867,0.10713552,0.13543132,0.1530865,-0.16230011,1.96041
2023-08-07,0.3302029,0.071642734,0.11252065,0.14274767,0.26964614,0.06959616,0.18327561,0.24345073,0.10736556,0.12133569,0.15668213,-0.15881488,1.967281
2023-08-08,0.32977766,0.071966805,0.112005755,0.14313218,0.269499,0.070128195,0.18345998,0.24302386,0.10719606,0.12090138,0.15576151,-0.15937313,1.9662255
2023-08-09,0.3315516,0.07124807,0.1131569,0.14217871,0.26861298,0.06903967,0.18338703,0.24414887,0.10884915,0.119990304,0.1583468,-0.15810278,1.9686129
2023-08-10,0.33273497,0.0705966,0.11382003,0.14141266,0.2672827,0.06839405,0.18330622,0.24475999,0.11025714,0.11865495,0.16035005,-0.15712342,1.9686929
2023-08-11,0.3324777,0.06772838,0.114764154,0.13917868,0.2638392,0.06672709,0.18135393,0.24476345,0.110719934,0.11838122,0.16540724,-0.15395895,1.9592999
2023-08-14,0.33204305,0.06648563,0.11472811,0.1383991,0.2614982,0.06647864,0.18070167,0.24439403,0.111037634,0.117177054,0.16719033,-0.15319398,1.9533273
2023-08-15,0.33290383,0.06793742,0.11471544,0.1393185,0.26357496,0.066879585,0.18167843,0.24487339,0.111252904,0.11756915,0.16527812,-0.15422851,1.9602103
2023-08-16,0.33278853,0.06961543,0.1143783,0.14053968,0.26661912,0.06754762,0.18251282,0.24498603,0.11031797,0.11922258,0.16228206,-0.15578641,1.9665966
2023-08-17,0.33196157,0.070895754,0.113572046,0.14171074,0.2684118,0.06852107,0.1831009,0.24449725,0.10920596,0.1201427,0.15939933,-0.15742767,1.9688469
2023-08-18,0.33276212,0.07076959,0.11368117,0.14154994,0.26724607,0.0685412,0.1834115,0.24471089,0.110365435,0.1184162,0.16008142,-0.15734181,1.9688773
2023-08-21,0.33297566,0.07063129,0.1137401,0.14140777,0.26683703,0.06842905,0.18340722,0.24479009,0.11067586,0.11799604,0.16044061,-0.15719894,1.9685296
